symbol,date,price
VegB,2012-06-22 22:51:31 UTC,96
VegC,2012-06-22 22:51:31 UTC,1
VegD,2012-06-22 22:51:31 UTC,24
VegA,2012-06-22 22:51:41 UTC,593
VegB,2012-06-22 22:51:41 UTC,97
VegC,2012-06-22 22:51:41 UTC,1
VegD,2012-06-22 22:51:41 UTC,24
VegA,2012-06-22 22:51:51 UTC,592
VegB,2012-06-22 22:51:51 UTC,97
VegC,2012-06-22 22:51:51 UTC,1
VegD,2012-06-22 22:51:51 UTC,24
VegA,2012-06-22 22:52:01 UTC,593
VegB,2012-06-22 22:52:01 UTC,97
VegC,2012-06-22 22:52:01 UTC,1
VegD,2012-06-22 22:52:01 UTC,24
VegA,2012-06-22 22:52:11 UTC,594
VegB,2012-06-22 22:52:11 UTC,97
VegC,2012-06-22 22:52:11 UTC,1
VegD,2012-06-22 22:52:11 UTC,24
VegA,2012-06-22 22:52:21 UTC,593
VegB,2012-06-22 22:52:21 UTC,97
VegC,2012-06-22 22:52:21 UTC,1
VegD,2012-06-22 22:52:21 UTC,25
VegA,2012-06-22 22:52:31 UTC,592
VegB,2012-06-22 22:52:31 UTC,97
VegC,2012-06-22 22:52:31 UTC,1
VegD,2012-06-22 22:52:31 UTC,24
VegA,2012-06-22 22:52:41 UTC,591
VegB,2012-06-22 22:52:41 UTC,97
VegC,2012-06-22 22:52:41 UTC,1
VegD,2012-06-22 22:52:41 UTC,24
VegA,2012-06-22 22:52:51 UTC,592
VegB,2012-06-22 22:52:51 UTC,97
VegC,2012-06-22 22:52:51 UTC,1
VegD,2012-06-22 22:52:51 UTC,24
VegA,2012-06-22 22:53:01 UTC,593
VegB,2012-06-22 22:53:01 UTC,97
VegC,2012-06-22 22:53:01 UTC,0
VegD,2012-06-22 22:53:01 UTC,24
VegA,2012-06-22 22:53:11 UTC,591
VegB,2012-06-22 22:53:11 UTC,97
VegC,2012-06-22 22:53:11 UTC,1
VegD,2012-06-22 22:53:11 UTC,24
VegA,2012-06-22 22:53:21 UTC,591
VegB,2012-06-22 22:53:21 UTC,97
VegC,2012-06-22 22:53:21 UTC,1
VegD,2012-06-22 22:53:21 UTC,26
VegA,2012-06-22 22:53:31 UTC,592
VegB,2012-06-22 22:53:31 UTC,97
VegC,2012-06-22 22:53:31 UTC,1
VegD,2012-06-22 22:53:31 UTC,25
VegA,2012-06-22 22:53:41 UTC,591
VegB,2012-06-22 22:53:41 UTC,97
VegC,2012-06-22 22:53:41 UTC,2
VegD,2012-06-22 22:53:41 UTC,24
VegA,2012-06-22 22:53:51 UTC,590
VegB,2012-06-22 22:53:51 UTC,97
VegC,2012-06-22 22:53:52 UTC,1
VegD,2012-06-22 22:53:52 UTC,24
VegA,2012-06-22 22:54:02 UTC,591
VegB,2012-06-22 22:54:02 UTC,97
VegC,2012-06-22 22:54:02 UTC,1
VegD,2012-06-22 22:54:02 UTC,24
VegA,2012-06-22 22:54:12 UTC,590
VegB,2012-06-22 22:54:12 UTC,97
VegC,2012-06-22 22:54:12 UTC,0
VegD,2012-06-22 22:54:12 UTC,24
VegA,2012-06-22 22:54:22 UTC,591
VegB,2012-06-22 22:54:22 UTC,97
VegC,2012-06-22 22:54:22 UTC,1
VegD,2012-06-22 22:54:22 UTC,25
VegA,2012-06-22 22:54:32 UTC,591
VegB,2012-06-22 22:54:32 UTC,98
VegC,2012-06-22 22:54:32 UTC,1
